title,description,author,image_link,preview_link,publisher,published_date,info_link,category,rating
Redeye - A Western,"This New York Times Notable Book is a quirky tale of the Old West from the author of The Bible Salesman, “a master of comic timing” (Richmond Times-Dispatch). “A Hollywood pitchman might call Redeye Eudora Welty meets Mark Twain,” says the New York Times Book Review about Clyde Edgerton’s “small gem of a novel,” a witty adventure set on the nineteenth-century frontier. “A rollicking tale . . . The cliff dwellings of southwest Colorado attract a motley crew of explorers in 1892, each with a personal agenda. Abel Merriwether, a local rancher and amateur archaeologist, wants to explore and protect the site; Andrew Collier, an Englishman, wants to write about it; Billy Blankenship, a local businessman, wants to develop it for tourism; Bishop Thorpe, a Mormon saint, hopes to find proof that Jesus visited there 2000 years before; and Cobb Pittman, a drifter with a red-eyed dog, seeks revenge on Thorpe for the Mountain Meadows Massacre of 1875. How this diverse bunch converges for an ill-fated tour of the site is unforgettable. A master storyteller, Edgerton proves that he is in full command of his craft no matter what the setting.” —Library Journal",Clyde Edgerton,http://books.google.com/books/content?id=J4PuJTTSh44C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=J4PuJTTSh44C&printsec=frontcover&dq=Redeye+-+A+Western&hl=&cd=1&source=gbs_api,Algonquin Books,1995,https://play.google.com/store/books/details?id=J4PuJTTSh44C&source=gbs_api,Fiction,4.0
FIREFALL,"Firefall is the omnibus edition of the novels Blindsight and Echopraxia. February 13, 2082, First Contact. Sixty-two thousand objects of unknown origin plunge into Earth's atmosphere – a perfect grid of falling stars screaming across the radio spectrum as they burn. Not even ashes reach the ground. Three hundred and sixty degrees of global surveillance: something just took a snapshot. And then... nothing. But from deep space, whispers. Something out there talks – but not to us. Two ships, Theseus and the Crown of Thorns, are launched to discover the origin of Earth's visitation, one bound for the outer dark of the Kuiper Belt, the other for the heart of the Solar System. Their crews can barely be called human, what they will face certainly can't. 'A tour de force, redefining the First Contact story for good.' Charles Stross. 'If you only read one science fiction novel this year, make it this one!... It puts the whole of the rest of the genre in the shade... It deserves to walk away with the Clarke, the Hugo, the Nebula, the BSFA, and pretty much any other genre award for which it's eligible. It's off the scale... F**king awesome!' Richard Morgan. 'State-of-the-art science fiction: smart, dark and it grabs you by the throat from page one' Neal Ascher.",Peter Watts,http://books.google.com/books/content?id=UJKCBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=UJKCBAAAQBAJ&printsec=frontcover&dq=FIREFALL&hl=&cd=1&source=gbs_api,Head of Zeus,2014,https://play.google.com/store/books/details?id=UJKCBAAAQBAJ&source=gbs_api,Fiction,3.0
"Linux Toys: 13Cool Projects for Home, Office and Entertainment (ExtremeTech)","* Christopher Negus is the bestselling author of Red Hat Linux 8 Bible (0-7645-4968-5) and earlier versions, with more than 125,000 copies sold * Readers learn to build sixteen fun and useful devices for home and office, using spare parts and free software * Projects include transforming an answering machine into an e-mail converter, building an MP3 music jukebox, building a car entertainment center, and creating a TV video recorder/player * Projects work with any version of Linux * Companion Web site includes specialized hardware drivers and software interfaces, plus music and game software","Christopher Negus', 'Chuck Wolber",http://books.google.com/books/content?id=teMa9d72ezYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.nl/books?id=teMa9d72ezYC&q=Linux+Toys:+13Cool+Projects+for+Home,+Office+and+Entertainment+(ExtremeTech)&dq=Linux+Toys:+13Cool+Projects+for+Home,+Office+and+Entertainment+(ExtremeTech)&hl=&cd=1&source=gbs_api",Wiley,2003,"http://books.google.nl/books?id=teMa9d72ezYC&dq=Linux+Toys:+13Cool+Projects+for+Home,+Office+and+Entertainment+(ExtremeTech)&hl=&source=gbs_api",Computers,1.0
Pre-Design,"The Kaplan AEC Education product line has been reorganized to align with the ARE. Only Kaplan offers all-inclusive learning systems for all nine ARE divisions. These systems are designed to help you better focus on essential information for each division of the exam, as well as provide flexibility in how you study. Each learning system includes a study guide, a questions & answers handbook or practice vignette, a test bank CD-ROM, and flash cards. Collectively, they provide a thorough content review designed for comprehension and retention of the material. Book jacket.",Paul D. Spreiregen,http://books.google.com/books/content?id=MrHriGdIbT0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=MrHriGdIbT0C&pg=PP11&dq=Pre-Design&hl=&cd=1&source=gbs_api,Kaplan AEC Architecture,2005,http://books.google.com/books?id=MrHriGdIbT0C&dq=Pre-Design&hl=&source=gbs_api,Architecture,1.0
Borrowed Flesh,"Poor Alex. She thought she would have some fun, take a chance, maybe fool around a little. Instead she’s lying dead in her own blood, cut open like a slaughtered animal. But the worst is still to come. Her tender young flesh will soon be used in an unspeakable act, an unholy ritual that few sane people could even believe. Alex was not the first, nor will she be the last. Not as long as Vanessa is alive—and she plans to be alive forever. Vanessa’s unnatural life has become a search for victims, virgins to satisfy her body’s need for eternal youth. But Vanessa doesn’t know that there are things in the world more powerful, more terrifying than even herself …",Sèphera Girón,http://books.google.com/books/content?id=h2aiDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=h2aiDAAAQBAJ&printsec=frontcover&dq=Borrowed+Flesh&hl=&cd=1&source=gbs_api,Crossroad Press,2016,https://play.google.com/store/books/details?id=h2aiDAAAQBAJ&source=gbs_api,Fiction,1.0
The Existence and Attributes of God,"The Existence and Attributes of God comprises the first two volumes of the works of Stephen Charnock (1628-1680), an English puritan divine who was highly skilled in philosophy, patristics, Reformed theology, and Biblical languages. These volumes are his abiding monument. They are worthy of being compared with the finest in theology. ""When the existence and attributes of God are called into question, to whom else can we better go than to Stephen Charnock'' . . . ''those [things revealed belong to us and to our children forever]. The material that Charnock discusses is firmly founded in the Word of God'' . . . ''Both the Old Testament and the New emphasize these two things: First, we should study the whole revelation, not just some easy or favorite parts of it; secondly, the study of God's attributes is not dry as dust theology, but is practical; that is, it leads to righteousness"" (Dr. Gordon H. Clark, from a preface to this great work in a Sovereign Grace edition, 1958). One of the greatest tragedies in these spiritually starved times is the sad fact that most Christians know so very little about their God. It is often said that this is simply because these volumes are exhaustive on the subject. Yet it is clearly filled with sublime expositions of the truth regarding God's existence and attributes. ""Charnock displays God's attributes not as impersonal abstractions for the mind to juggle with, but as qualities observable in the concrete actions of the living God of which the Bible speaks. The technical terms and sometimes, arguments of scholastic theology are employed, but always with a Biblical orientation. Charnock has no desire to speculate, but only to declare the works and ways, the nature and character, of the God of the Bible. The substance of his doctrine is characteristically Puritan and representatively Reformed."" (Dr. James I. Packer, in The Encyclopedia of Christianity, Volume II, p. 410) The possessor of these rare volumes will be blessed by getting acquainted with the incomparable God, and thereby will reach a higher plane of spiritual enjoyment never attained before. To know Him better is to love Him more.",Stephen Charnock,http://books.google.com/books/content?id=1HSYbKrVR8AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=1HSYbKrVR8AC&printsec=frontcover&dq=The+Existence+and+Attributes+of+God&hl=&cd=1&source=gbs_api,"Sovereign Grace Publishers,",2008,https://play.google.com/store/books/details?id=1HSYbKrVR8AC&source=gbs_api,Religion,1.0
How to Go to Hell,"Today’s churches do not always touch on the subject of hell. God does not want anyone to go to hell, but if they do not put Him first in their life and do His works, one might not end up where they think they are going. Pastor Seung Woo Byun explores specific and powerful promises of God that point to heaven and hell. Readers are guided through biblical End-Time prophecies, with special focus on the impending rapture of the true church—the bride of Christ. Many questions are answered by an overview of the Rapture, the Second Resurrection, the Antichrist, the role of the Jewish people, and what one must do to be prepared. This “must-read” book will not only reveal where you do not want to go (and why), but where you do want to go and how to get there through Christ Jesus. You will not want to miss the truth about the two worlds that await you when you die.",Seung-woo Byun,http://books.google.com/books/content?id=S1fvDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=S1fvDwAAQBAJ&printsec=frontcover&dq=How+to+Go+to+Hell&hl=&cd=1&source=gbs_api,펜립,2020,https://play.google.com/store/books/details?id=S1fvDwAAQBAJ&source=gbs_api,Religion,4.0
The Oxford Book of Sonnets,"An anthology of more than three hundred sonnets, arranged by the birth date of the poets, features the work of Shakespeare, Donne, Milton, Wordsworth, the Brownings, Christina Rossetti, Frost, Millay, Walcott, Heaney, and others.",John Fuller,http://books.google.com/books/content?id=Cy9_PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=Cy9_PwAACAAJ&dq=The+Oxford+Book+of+Sonnets&hl=&cd=1&source=gbs_api,"Oxford University Press, USA",2002,http://books.google.com/books?id=Cy9_PwAACAAJ&dq=The+Oxford+Book+of+Sonnets&hl=&source=gbs_api,Poetry,1.0
Spanish-English Dictionary Of Law And Business,"This new dictionary provides a ready reference to essential terms and phrases used in all areas of law and business, including accounting, banking, civil law, civil procedure, contracts, corporate law, criminal law, criminal procedure, economics, intellectual property, labor law, real property, secured transactions, securities law, and torts. Written by an American attorney who is also an accredited translator, it provides complete coverage of terminology used in all Spanish-speaking countries, not just those countries where the other bilingual dictionaries on the market were written (i.e., Spain and Argentina). Accordingly, it is the only source for translations of terms that are unique to countries such as Colombia, Peru and Venezuela. The dictionary was thoroughly researched using original documents and monolingual dictionaries from the Spanish-speaking various countries and is thus authoritative and up-to-date. No lawyer or translator who works with Spanish legal and business documents can afford to be without it.",Thomas L. West,http://books.google.com/books/content?id=F6WyAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=F6WyAAAAIAAJ&dq=Spanish-English+Dictionary+Of+Law+And+Business&hl=&cd=1&source=gbs_api,Intermark Language Services,1999,http://books.google.com/books?id=F6WyAAAAIAAJ&dq=Spanish-English+Dictionary+Of+Law+And+Business&hl=&source=gbs_api,Business & Economics,1.0
The Penalty Box (New York Blades),"Everyone from Didsbury High remembers Katie Fisher as the dumpy brainiac from the poor side of town. Everyone from Didsbury High remembers Paul van Dorn as the school hockey star—and heartthrob. But now they’re facing off—and matching up in more ways than one. Katie’s lost the pounds, added some self-confidence, and become a drop-dead gorgeous sociology professor. And since a series of concussions put an end to Paul’s pro-hockey career, his star has dimmed. Now he hits the ice as a youth hockey coach. But he’s still got the hometown crowd behind him as the owner of a bar called the Penalty Box. Paul is reliving his glory days. Katie wishes she could put those years behind her. And the battle of wills that ensues just might knock love right out of the game…",Deirdre Martin,http://books.google.com/books/content?id=qqzn8Ub5A5AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=qqzn8Ub5A5AC&printsec=frontcover&dq=The+Penalty+Box+(New+York+Blades)&hl=&cd=1&source=gbs_api,Penguin,2006,https://play.google.com/store/books/details?id=qqzn8Ub5A5AC&source=gbs_api,Fiction,5.0
War Against the Weak: Eugenics and America's Campaign to Create a Master Race,"War Against the Weak is the gripping chronicle documenting how American corporate philanthropies launched a national campaign of ethnic cleansing in the United States, helped found and fund the Nazi eugenics of Hitler and Mengele -- and then created the modern movement of ""human genetics."" Some 60,000 Americans were sterilized under laws in 27 states. This expanded edition includes two new essays on state genocide.",Edwin Black,http://books.google.com/books/content?id=xzwTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=xzwTEAAAQBAJ&printsec=frontcover&dq=War+Against+the+Weak:+Eugenics+and+America%27s+Campaign+to+Create+a+Master+Race&hl=&cd=1&source=gbs_api,Dialog Press,2012,https://play.google.com/store/books/details?id=xzwTEAAAQBAJ&source=gbs_api,History,4.0
Fireworks: The Lost Writings,"Drawn from Thompson's extensive vintage magazine fiction and voluminous unpublished writings is an astonishing array of gritty short stories and two recently discovered novellas, This World, Then the Fireworks and The Expensive Sky.",Jim Thompson,http://books.google.com/books/content?id=vukfAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=vukfAQAAIAAJ&q=Fireworks:+The+Lost+Writings&dq=Fireworks:+The+Lost+Writings&hl=&cd=1&source=gbs_api,Dutton Adult,1988,http://books.google.com/books?id=vukfAQAAIAAJ&dq=Fireworks:+The+Lost+Writings&hl=&source=gbs_api,Detective and mystery stories,1.0
From Atlantis to the Sphinx,"In this compelling book, Colin Wilson argues that thousands of years before ancient Egypt and Greece held sway, there was a great civilization whose ships traveled the world from China to Antarctica. Their advanced knowledge of science, mathematics, and astronomy was passed on to descendants who escaped to Egypt and South America. From Atlantis to the Sphinx bases this assertion on a true fact: that archaeologists and geologists are at odds over the age of the Sphinx. Archaeologists claim that the Sphinx dates to classical dynastic Egypt, around 2,400 b.c. But some geologists claim that it could have been built as early as 7,000 to 10,500 b.c. The geologists' claim is based on the curious fact that the erosion of the Sphinx is more characteristic of water erosion than that of wind and sand. Starting from the assumption that there was an advanced civilization in existence much earlier than previously thought, Wilson goes on to claim that it could very well be Atlantis--not a literal island that sank, but more of a great civilization that either declined naturally or experienced a great catastrophe, passing on only a fraction of its knowledge to other peoples. From Atlantis to the Sphinx delves into what might have been a completely different knowledge system from that of modern man--one as alien to us as that of the Martians. The book sets out to reconstruct that ancient knowledge in a fascinating exploration of the remote depths of history, a ground-breaking attempt to understand how these long-forgotten peoples thought, felt, and communicated with the universe.",Colin Wilson,http://books.google.com/books/content?id=nHSJhcOmeSQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=nHSJhcOmeSQC&printsec=frontcover&dq=From+Atlantis+to+the+Sphinx&hl=&cd=1&source=gbs_api,Weiser Books,2004,http://books.google.com/books?id=nHSJhcOmeSQC&dq=From+Atlantis+to+the+Sphinx&hl=&source=gbs_api,History,5.0
The Secret of Wigglesworth's Power,"Discover the secrets of Smith Wigglesworths powerful relationship with God. One of the most admired ministers of the 20th century, Smith was known for the astounding miracles that happened in his meetings.",Albert Hibbert,http://books.google.com/books/content?id=Moqz-x9W_EUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=Moqz-x9W_EUC&printsec=frontcover&dq=The+Secret+of+Wigglesworth%27s+Power&hl=&cd=1&source=gbs_api,Harrison House Publishers,2009,http://books.google.nl/books?id=Moqz-x9W_EUC&dq=The+Secret+of+Wigglesworth%27s+Power&hl=&source=gbs_api,Religion,4.0
Get the Facts on Anyone,"A unique, groundbreaking resource, this extraordinary guide was a runaway hit in its first edition. Now revised and expanded, the book reveals all the inside techniques that professional investigators use to find out almost anything about anyone.",Dennis King,http://books.google.com/books/content?id=_1YVAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=_1YVAQAAIAAJ&q=Get+the+Facts+on+Anyone&dq=Get+the+Facts+on+Anyone&hl=&cd=1&source=gbs_api,MacMillan Publishing Company,1995,http://books.google.com/books?id=_1YVAQAAIAAJ&dq=Get+the+Facts+on+Anyone&hl=&source=gbs_api,Biography,1.0
Designer Scrapbooks the Red Hat Society Way: A Guide to Chronicling Ridiculous Fun,"Covering marriage, children, grandparents, careers, retirement, and more, this is the official book of The Red Hat Society, a craze that is sweeping the nation. Two-color text & illustrations throughout.",Sue Ellen Cooper,http://books.google.com/books/content?id=mnW8IT7nosoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=mnW8IT7nosoC&printsec=frontcover&dq=Designer+Scrapbooks+the+Red+Hat+Society+Way:+A+Guide+to+Chronicling+Ridiculous+Fun&hl=&cd=1&source=gbs_api,Grand Central Publishing,2008,https://play.google.com/store/books/details?id=mnW8IT7nosoC&source=gbs_api,Religion,2.0
The Black Stallion and Satan (The Black Stallion Ser.),"When the Black is returned to Alec Ramsey, the whole racing world, including Alec himself, wonders which horse is faster: the great stallion or his son, Satan.",Walter Farley,http://books.google.com/books/content?id=gfKtw79WakUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=gfKtw79WakUC&printsec=frontcover&dq=The+Black+Stallion+and+Satan+(The+Black+Stallion+Ser.)&hl=&cd=1&source=gbs_api,Yearling Books,1992,http://books.google.com/books?id=gfKtw79WakUC&dq=The+Black+Stallion+and+Satan+(The+Black+Stallion+Ser.)&hl=&source=gbs_api,Juvenile Fiction,1.0
Many infallible proofs: Practical and useful evidences of Christianity,"Christians today - especially in America - are woefully ignorant about the Bible, and what impact it can have on a world of darkness. This despite the words of 1 Peter 3:15: ""But in your hearts set apart Christ as Lord. Always be prepared to give an answer to everyone who asks you to give the reason for the hope that you have."" Thankfully, scholars like Henry Morris have seen fit to provide us with good answers for questions posed by Bible critics...and by multitudes of Christians, for Christ himself has provided us with many infallible proofs (Acts 1:2-3). Christians will be strengthened with these topics: Problems in verbal inspirationFulfillment of prophecyThe structure of ScriptureAlleged Bible contradictionsThe Bible and scienceThe Bible and ancient historyThe unique birth of Christ","Henry M. Morris', 'Henry M. Morris III",http://books.google.com/books/content?id=RIr4L7epBqEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=RIr4L7epBqEC&printsec=frontcover&dq=Many+infallible+proofs:+Practical+and+useful+evidences+of+Christianity&hl=&cd=1&source=gbs_api,New Leaf Publishing Group,1974,http://books.google.com/books?id=RIr4L7epBqEC&dq=Many+infallible+proofs:+Practical+and+useful+evidences+of+Christianity&hl=&source=gbs_api,Religion,4.0
MODERN BAPTISTS. A Novel.,"Bobby Pickens's secure, carefree bachelor existence is thrown into turmoil when his half brother, F.X., an ex-con, ex-actor, and three-times ex-husband, moves into his small-town Louisiana home",James Wilcox,http://books.google.com/books/content?id=8UGhzcqTBF4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=8UGhzcqTBF4C&q=MODERN+BAPTISTS.+A+Novel.&dq=MODERN+BAPTISTS.+A+Novel.&hl=&cd=1&source=gbs_api,HarperCollins,1990,http://books.google.nl/books?id=8UGhzcqTBF4C&dq=MODERN+BAPTISTS.+A+Novel.&hl=&source=gbs_api,Fiction,4.0
The Italian Baker,Introduces traditional techniques for preparing artisanal doughs while incorporating ingredient and equipment sections and instructions for using the natural yeast method.,Carol Field,http://books.google.com/books/content?id=YwhwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=YwhwDwAAQBAJ&printsec=frontcover&dq=The+Italian+Baker&hl=&cd=1&source=gbs_api,"Random House Digital, Inc.",2011,http://books.google.com/books?id=YwhwDwAAQBAJ&dq=The+Italian+Baker&hl=&source=gbs_api,Cooking,4.0
Glimpses of Paradise: A Novel,"After high school in a small town in Nebraska, Doyle and Zee drift apart, both with dreams of escape, and end up together again in Los Angeles, when Doyle goes back into law and Zee gets arrested for murder. Original.",James Scott Bell,http://books.google.com/books/content?id=DRs3bxWY4KsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=DRs3bxWY4KsC&q=Glimpses+of+Paradise:+A+Novel&dq=Glimpses+of+Paradise:+A+Novel&hl=&cd=1&source=gbs_api,Bethany House Pub,2005,http://books.google.com/books?id=DRs3bxWY4KsC&dq=Glimpses+of+Paradise:+A+Novel&hl=&source=gbs_api,Fiction,1.0
One Skein: 30 Quick Projects to Knit or Crochet,"These knitted and crocheted fashion accessories and decorative accents for the home vary in their required levels of skill, but all can be completed quickly and require only one skein of yarn. The stitch patterns and clear instructions make it easy for even procrastinators and the less-than-diligent to create a ruffled cravat, a drawstring bag, a tank top, cozy scarves, arm and leg warmers, lace wristlets, fingerless gloves, a mohair pillow, and even a sweater for a baby. Several projects do not require any new yarn at allâ€""instead projects such as the Felted Striped Tote or the Labyrinth Circle Rug are designed using up a skein's worth of leftovers from other projects. A guide to terms and techniques, a resource directory, and a bibliography are also included.",Leigh Radford,http://books.google.com/books/content?id=QCJjDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=QCJjDwAAQBAJ&pg=PA1&dq=One+Skein:+30+Quick+Projects+to+Knit+or+Crochet&hl=&cd=1&source=gbs_api,Penguin,2013,http://books.google.com/books?id=QCJjDwAAQBAJ&dq=One+Skein:+30+Quick+Projects+to+Knit+or+Crochet&hl=&source=gbs_api,Crafts & Hobbies,2.0
Sacred Arts of Haitian Vodou,"This abundantly illustrated anthology brings together sixteen essays by artists, scholars and ritual experts who examine the sacred arts of Haitian Vodou from multiple perspectives. Among the many topics covered are the ten major Vodou divinities: Vodou's roots in the Fon and Kongo kingdoms of Africa and its transformation in the experiences of slavery, and the encounter with European spiritual systems; Vodou praxis, including its bodily and communal disciplines, the cult of St. James Major (Ogou), and the cult of twins.In the final section, essays by Elizabeth McAlister, Patrick Polk, Tina Girouard, and Randall Morris look at Vodou arts and artists, Oleyant, and the legacy of ironworker Georges Liautaud.The Envoi, by Donald J.Cosentino, is devoted to the Gedes, spirits of death and regeneration.","University of California Los Angeles', 'Donald Cosentino",http://books.google.com/books/content?id=YePpAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=YePpAAAAMAAJ&q=Sacred+Arts+of+Haitian+Vodou&dq=Sacred+Arts+of+Haitian+Vodou&hl=&cd=1&source=gbs_api,University of California Museum of,1995,http://books.google.nl/books?id=YePpAAAAMAAJ&dq=Sacred+Arts+of+Haitian+Vodou&hl=&source=gbs_api,Art,3.0
Judgment & Justification In Early Judaism And The Apostle Paul,"New York Times bestselling author Joseph Finder returns with an explosive new thriller about a female judge and the one personal misstep that could lead to her--and her family's--downfall. It was nothing more than a one-night stand. Juliana Brody, a judge in the Superior Court of Massachusetts, is rumored to be in consideration for the federal circuit, maybe someday the highest court in the land. At a conference in a Chicago hotel, she meets a gentle, vulnerable man and has an unforgettable night with him--something she'd never done before. They part with an explicit understanding that this must never happen again. But back home in Boston, Juliana realizes that this was no random encounter. The man from Chicago proves to have an integral role in a case she's presiding over--a sex-discrimination case that's received national attention. Juliana discovers that she's been entrapped, her night of infidelity captured on video. Strings are being pulled in high places, a terrifying unfolding conspiracy that will turn her life upside down. But soon it becomes clear that personal humiliation, even the possible destruction of her career, are the least of her concerns, as her own life and the lives of her family are put in mortal jeopardy. In the end, turning the tables on her adversaries will require her to be as ruthless as they are.",Joseph Finder,http://books.google.com/books/content?id=LQaCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=LQaCDwAAQBAJ&printsec=frontcover&dq=Judgment&hl=&cd=1&source=gbs_api,Dutton,2019,http://books.google.com/books?id=LQaCDwAAQBAJ&dq=Judgment&hl=&source=gbs_api,Fiction,5.0
Tartuffe and Other Plays,"Including ""The Ridiculous Precieuses, The School for Husbands, The School for Wives, Don Juan, The Versailles Impromptu,"" and ""The Critique of the School for Wives,"" this collection showcases the talent of perhaps the greatest and best-loved French playwright. Revised reissue.",Moliere,http://books.google.com/books/content?id=1p_QrQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=1p_QrQEACAAJ&dq=Tartuffe+and+Other+Plays&hl=&cd=1&source=gbs_api,Signet,2015,http://books.google.com/books?id=1p_QrQEACAAJ&dq=Tartuffe+and+Other+Plays&hl=&source=gbs_api,Drama,2.0
Method in ministry: Theological reflection and Christian ministry,Theological Reflection and Christian Ministry James & Evelyn Whitehead Topics ranging from Tradition and the minister to the broad concerns of theology in conversation with culture.,"James D. Whitehead', 'Evelyn Eaton Whitehead",http://books.google.com/books/content?id=w1VNLv4hVmIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.nl/books?id=w1VNLv4hVmIC&printsec=frontcover&dq=Method+in+ministry:+Theological+reflection+and+Christian+ministry&hl=&cd=1&source=gbs_api,Rowman & Littlefield,1995,http://books.google.nl/books?id=w1VNLv4hVmIC&dq=Method+in+ministry:+Theological+reflection+and+Christian+ministry&hl=&source=gbs_api,Religion,1.0
Carb Free Comfort,"The ketogenic diet is all about nourishing and healing your body with nutrient-dense whole foods, as international bestselling author Maria Emmerich has demonstrated in her previous books, The Ketogenic Cookbook and The 30-Day Ketogenic Cleanse. In Keto Comfort Foods, Emmerich has compiled her most soul-warming, happiness-invoking recipes. The book's 170+ recipes include cinnamon rolls, steak fries, chicken cordon bleu and tiramisu cheesecake. Maria has covered all the bases, giving you the recipes and tips you need to make delicious and healthy versions of your favourite dishes.",Maria Emmerich,http://books.google.com/books/content?id=T60oDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=T60oDwAAQBAJ&pg=PA1&dq=Carb+Free+Comfort&hl=&cd=1&source=gbs_api,Simon and Schuster,2017,http://books.google.com/books?id=T60oDwAAQBAJ&dq=Carb+Free+Comfort&hl=&source=gbs_api,Cooking,1.0
Alphabets & ornaments,"For fans of P is for Pterodactyl comes this groundbreaking spin on the ABCs from an acclaimed bestselling author and artist duo! Here's a totally twisted take on the alphabet that invites readers to look at it in a whole new way: An A is an H that just won't stand up right, a B is a D with its belt on too tight, and a Z is an L in a tug-of-war fight! Twenty-six letters, unique from each other -- and yet, every letter looks just like one another! Kind of like...one big family. From two bestselling masters of wordplay and visual high jinks comes a mind-bending riddle of delightful doppelgängers and surprising disguises that reveal we're more alike than we may think. You'll never look at the alphabet the same way again!",Chris Harris,http://books.google.com/books/content?id=0CjIDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=0CjIDwAAQBAJ&pg=PA2&dq=Alphabets&hl=&cd=1&source=gbs_api,"Little, Brown Books for Young Readers",2020,https://play.google.com/store/books/details?id=0CjIDwAAQBAJ&source=gbs_api,Juvenile Fiction,2.0
The Life of Mendelssohn (Musical Lives),This biography traces Mendelssohn's development from dazzling child prodigy to renowned composer and conductor.,"Peter Mercer-Taylor', 'ter Mercer-Taylor",http://books.google.com/books/content?id=vZG3pBbCaB4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=vZG3pBbCaB4C&printsec=frontcover&dq=The+Life+of+Mendelssohn+(Musical+Lives)&hl=&cd=1&source=gbs_api,Cambridge University Press,2000,http://books.google.com/books?id=vZG3pBbCaB4C&dq=The+Life+of+Mendelssohn+(Musical+Lives)&hl=&source=gbs_api,Biography & Autobiography,1.0
The 2 1/2 Pillars of Wisdom (The Von Igelfeld Trilogy),"Welcome to the extraordinary world of Professor Dr. Moritz-Maria von Igelfeld, an unnaturally tall and memorable character whose sublime insouciance is a blend of the cultivated pomposity of Frasier Crane and Inspector Clouseau’s hapless gaucherie. The complete exploits of this unlikely adventurer are delightfully captured in The 21⁄2 Pillars of Wisdom.",Alexander McCall Smith,http://books.google.com/books/content?id=CCUlkSH9v5QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=CCUlkSH9v5QC&dq=The+2+1/2+Pillars+of+Wisdom+(The+Von+Igelfeld+Trilogy)&hl=&cd=1&source=gbs_api,Vintage Canada,2009,http://books.google.nl/books?id=CCUlkSH9v5QC&dq=The+2+1/2+Pillars+of+Wisdom+(The+Von+Igelfeld+Trilogy)&hl=&source=gbs_api,Fiction,4.0
"Amanda Pig and the Really Hot Day (Easy-to-Read, Dial)",Amanda Pig and her family and friends try to find different ways to beat the heat.,Jean Van Leeuwen,http://books.google.com/books/content?id=jCXaVO8FI6QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"http://books.google.com/books?id=jCXaVO8FI6QC&q=Amanda+Pig+and+the+Really+Hot+Day+(Easy-to-Read,+Dial)&dq=Amanda+Pig+and+the+Really+Hot+Day+(Easy-to-Read,+Dial)&hl=&cd=1&source=gbs_api",Penguin Young Readers,2007,"http://books.google.com/books?id=jCXaVO8FI6QC&dq=Amanda+Pig+and+the+Really+Hot+Day+(Easy-to-Read,+Dial)&hl=&source=gbs_api",Juvenile Fiction,4.0
